,plot_area(m^2)_x,crops_in_plot,total_harvested,crop_proportion,npk_20-10-10,kcl/mop,Kigali,South,Gasabo,Gatsibo,Gisagara,Huye,Kayonza,Kirehe,Nyagatare,Rusizi,Rwamagana,Mixed,Bush bean,Cooking banana,Dessert banana,Paddy rice,Both(Trad and Improved,Improved seeds,quanitiy_harvested_(kg)
114,494.8282,1.0,3400.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3000.0
115,5028.9927,1.0,660.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660.0
116,6706593.0,1.0,2106000.0,1.0,0.0,30420.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1800000.0
117,12431.656,1.0,116.0,0.29999998,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,116.0
118,11728.541000000001,1.0,21490.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19572.0
119,4117.96,1.0,1080.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1080.0
120,1511.2977,1.0,240.33,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
121,14798.848,2.0,1458.0,0.79999995,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1458.0
122,7777.1216,2.0,38550.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,10000.0
123,271893.47,1.0,121500.0,1.0,0.0,1755.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,121500.0
124,21257.479,4.0,1000.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
125,461095.06,1.0,165320.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,125000.0
126,21257.479,4.0,40.0,0.20000002,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,40.0
127,1087999.4,1.0,466356.0,1.0,10599.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,466356.0
128,38273.934,1.0,7000.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
129,39303.66,2.0,40.0,0.05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0
130,5133.8057,1.0,140.0,0.90000004,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,140.0
131,4336627.0,1.0,492593.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,492593.0
132,1151.445,1.0,40.0,0.7,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.0
133,3583.7263,1.0,3600.0,0.64285713,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3300.0
134,15532.171,1.0,11439.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11439.0
135,536351.94,1.0,205770.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,205770.0
